YearofStudy,Course,Age,ApproxHeight,ApproxWeight,SitKCSE,Expense_Semester,Expense_Accommodation,Previous_Exam_MeanGrade
Second Year,MATHEMATICS,20,152,80,Central ,8744,6043,B
First Year,ECONOMICS AND STATISTICS,29,182,79,Rift Valley,26293,,B
Fourth Year,MATHEMATICS,,167,64,Western,44105,19224,B
Second Year,ECONOMICS AND STATISTICS,23,149,52,Coast,33954,18795,B
Second Year,MATHEMATICS,18,,70,Western,,25569,A
Third Year,URBAN PLANNING,20,154,56,Central ,11648,41028,A
Third Year,MATHEMATICS,21,165,79,Rift Valley,39252,44024,A
Third Year,MATHEMATICS,21,162,,Nyanza,38174,36925,B
Fourth Year,ACTUARIAL SCIENCE,22,154,53,Nyanza,40833,27034,B
Fourth Year,ECONOMICS,21,172,57,Rift Valley,42264,26059,B
Third Year,MATHEMATICS,22,172,78,Coast,6811,39242,C
Second Year,MATHEMATICS,22,160,60,Coast,34148,37578,B
Fourth Year,MATHEMATICS,23,170,66,Nairobi,49155,,B
First Year,ECONOMICS AND STATISTICS,20,,79,Nairobi,23654,17407,C
Second Year,ECONOMICS AND STATISTICS,34,176,80,Eastern ,32733,39019,E
Third Year,STATISTICS,20,150,54,Central ,,35910,B
Third Year,ECONOMICS AND STATISTICS,21,167,45,Nairobi,28393,9384,B
Third Year,APPLIED MATHEMATICS,20,122,52,Central ,24691,28958,B
Third Year,STATISTICS,21,160,52,Central ,36282,48476,B
Second Year,STATISTICS,21,200,65,Nairobi,9726,20195,B
Third Year,STATISTICS,27,166,75,Nairobi,35034,,A
Third Year,MATHEMATICS,20,157,45,Nyanza,34574,38983,B
Second Year,ACTUARIAL SCIENCE,20,,50,Central ,24599,33816,A
Third Year,ELECTRICAL ENGINEERING,21,170,59,Nairobi,36394,18675,A
Second Year,MATHEMATICS,21,160,54,Nyanza,9152,34661,B
First Year,STATISTICS,18,149,57,Rift Valley,17414,9154,B
Fourth Year,MATHEMATICS,23,155,72,Eastern ,44791,14681,C
Fourth Year,MATHEMATICS,24,153,56,Rift Valley,48957,25285,C
Third Year,ECONOMICS AND STATISTICS,22,155,58,Coast,40620,24280,B
Third Year,STATISTICS,21,154,68,Nyanza,,11981,B
Third Year,STATISTICS,20,150,50,Eastern ,31863,,B
Second Year,MATHEMATICS,25,,54,Central ,45539,5902,C
First Year,ECONOMICS AND STATISTICS,,163,75,Rift Valley,10251,9951,B
Fourth Year,MATHEMATICS,21,166,67,Western,8802,12739,B
Second Year,ECONOMICS AND STATISTICS,24,155,57,Coast,30190,32985,B
Second Year,MATHEMATICS,22,147,,Western,8835,44816,A
Third Year,URBAN PLANNING,24,154,63,Central ,46738,22645,A
Third Year,MATHEMATICS,23,149,66,Rift Valley,24766,8508,A
Third Year,MATHEMATICS,22,164,50,Nyanza,13157,18850,B
Fourth Year,ACTUARIAL SCIENCE,23,176,69,Nyanza,,10771,B
Fourth Year,ECONOMICS,20,148,64,Rift Valley,33576,44122,B
Third Year,MATHEMATICS,20,156,56,Coast,11111,29686,C
Second Year,MATHEMATICS,21,152,76,Coast,49140,,B
Fourth Year,MATHEMATICS,25,141,58,Nairobi,28455,31672,B
First Year,ECONOMICS AND STATISTICS,23,178,52,Nairobi,23656,6657,C
Second Year,ECONOMICS AND STATISTICS,25,163,80,Eastern ,46291,48633,E
Third Year,STATISTICS,21,,66,Central ,33984,44199,B
Third Year,ECONOMICS AND STATISTICS,,147,53,Nairobi,,34372,B
Third Year,APPLIED MATHEMATICS,22,171,51,Central ,30086,26363,B
Third Year,STATISTICS,23,174,60,Central ,23524,34048,B
Second Year,STATISTICS,22,162,57,Nairobi,27858,,B
Third Year,STATISTICS,,161,77,Nairobi,6287,19264,A
Third Year,MATHEMATICS,22,168,,Nyanza,24251,46408,B
Second Year,ACTUARIAL SCIENCE,24,157,63,Central ,19423,20715,A
Third Year,ELECTRICAL ENGINEERING,23,144,54,Nairobi,48602,36527,A
Second Year,MATHEMATICS,21,141,75,Nyanza,,39735,B
First Year,STATISTICS,20,168,50,Rift Valley,24634,12529,B
Fourth Year,MATHEMATICS,,,66,Eastern ,21556,15814,C
Fourth Year,MATHEMATICS,23,171,55,Rift Valley,,,C
Third Year,ECONOMICS AND STATISTICS,22,174,77,Coast,48495,31425,B
Third Year,STATISTICS,21,142,64,Nyanza,36492,34995,B
Third Year,STATISTICS,22,141,58,Eastern ,9222,31360,B
